YEAR,MONTH,TOT_POP
2000,4,281424600
2000,5,281643089
2000,6,281887481
2000,7,282162411
2000,8,282422213
2000,9,282693284
2000,10,282957962
2000,11,283197152
2000,12,283437649
2001,1,283647024
2001,2,283841797
2001,3,284047071
2001,4,284269299
2001,5,284487152
2001,6,284728443
2001,7,284968955
2001,8,285224368
2001,9,285493771
2001,10,285689399
2001,11,285921072
2001,12,286138973
2002,1,286340637
2002,2,286542998
2002,3,286723459
2002,4,286929463
2002,5,287151632
2002,6,287393588
2002,7,287625193
2002,8,287870555
2002,9,288129987
2002,10,288379244
2002,11,288610754
2002,12,288804655
2003,1,288998781
2003,2,289132739
2003,3,289258694
2003,4,289400188
2003,5,289554820
2003,6,289819527
2003,7,290107933
2003,8,290391551
2003,9,290656476
2003,10,290916101
2003,11,291160038
2003,12,291364214
2004,1,291553190
2004,2,291716878
2004,3,291888226
2004,4,292108553
2004,5,292350184
2004,6,292571704
2004,7,292805298
2004,8,293057495
2004,9,293309033
2004,10,293573356
2004,11,293801454
2004,12,294015263
2005,1,294230649
2005,2,294380349
2005,3,294558690
2005,4,294784353
2005,5,295030999
2005,6,295262724
2005,7,295516599
2005,8,295771752
2005,9,296040189
2005,10,296306871
2005,11,296514546
2005,12,296762293
2006,1,296987570
2006,2,297219147
2006,3,297423035
2006,4,297649663
2006,5,297869406
2006,6,298118142
2006,7,298379912
2006,8,298630579
2006,9,298908360
2006,10,299159981
2006,11,299395746
2006,12,299658194
2007,1,299890446
2007,2,300095558
2007,3,300288381
2007,4,300511531
2007,5,300728176
2007,6,300968228
2007,7,301231207
2007,8,301500377
2007,9,301772224
2007,10,302026271
2007,11,302287110
2007,12,302533358
2008,1,302754346
2008,2,302966260
2008,3,303185074
2008,4,303381938
2008,5,303616954
2008,6,303847001
2008,7,304093966
2008,8,304357665
2008,9,304614210
2008,10,304858602
2008,11,305093832
2008,12,305298802
2009,1,305519874
2009,2,305714782
2009,3,305920351
2009,4,306112520
2009,5,306321829
2009,6,306541114
2009,7,306771529
2009,8,307007040
2009,9,307267930
2009,10,307518237
2009,11,307757459
2009,12,307954399
2010,1,308169976
2010,2,308375613
2010,3,308565817
2010,4,308745538
2010,7,309349689
